meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Rio 2016,47.83,09-08-2016,Men 100 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07-12-1988,163,166,943,Rio de Janeiro,BRA
Australian National Championships (50m),47.83,01-04-2014,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11-04-1991,163,167,943,Brisbane,AUS
13th FINA World Championships 2009,47.83,29-07-2009,Men 100 Freestyle LCM Male,CAN,Canada,"HAYDEN, Brent",M,21-10-1983,163,168,,Rome,ITA
Olympic Games Beijing 2008,47.83,12-08-2008,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,20-10-1981,163,169,983,Beijing,CHN
European Championships 2021,47.84,19-05-2021,Men 100 Freestyle LCM Male,HUN,Hungary,"NEMETH, Nandor",M,19-11-1999,170,170,942,Budapest,HUN
16th FINA World Championships 2015,47.84,06-08-2015,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"NING, Zetao",M,06-03-1993,170,171,942,Kazan,RUS
15th FINA World Championships 2013,47.84,01-08-2013,Men 100 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07-12-1988,170,172,942,Barcelona,ESP
Olympic Games London 2012,47.84,01-08-2012,Men 100 Freestyle LCM Male,FRA,France,"AGNEL, Yannick",M,09-06-1992,170,173,942,London,GBR
16th Pan American Games 2011,47.84,16-10-2011,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10-01-1987,170,174,942,Guadalajara,MEX
Olympic Games Beijing 2008,47.84,12-08-2008,Men 100 Freestyle LCM Male,CAN,Canada,"HAYDEN, Brent",M,21-10-1983,170,175,982,Beijing,CHN
Olympic Games Sydney 2000,47.84,19-09-2000,Men 100 Freestyle LCM Male,NED,Netherlands,"VAN DEN HOOGENBAND, Pieter",M,14-03-1978,170,176,,Sydney,AUS
European Championships 2022,47.85,14-08-2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15-09-2004,177,177,942,Rome,ITA
European Championships 2021,47.85,18-05-2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09-07-2000,177,178,942,Budapest,HUN
Russian National Swimming Championships (50m),47.85,06-04-2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,21-07-1996,177,179,942,Kazan,RUS
17th FINA World Championships 2017,47.85,26-07-2017,Men 100 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07-12-1988,177,180,942,Budapest,HUN
Olympic Games Rio 2016,47.85,10-08-2016,Men 100 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07-12-1988,177,181,942,Rio de Janeiro,BRA
Olympic Games Beijing 2008,47.85,12-08-2008,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,01-05-1983,177,182,981,Beijing,CHN
European Championships 2022,47.86,14-08-2022,Men 100 Freestyle LCM Male,HUN,Hungary,"NEMETH, Nandor",M,19-11-1999,183,183,941,Rome,ITA
Olympic Games Tokyo 2020,47.86,29-07-2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02-10-1998,183,184,941,Tokyo,JPN
Atlanta Classis Swim Meet 2019,47.86,19-05-2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16-08-1996,183,185,941,Atlanta,USA
European Championships 2002,47.86,31-07-2002,Men 100 Freestyle LCM Male,NED,Netherlands,"VAN DEN HOOGENBAND, Pieter",M,14-03-1978,183,186,,Berlin,GER
19th FINA World Championships Budapest 2022,47.87,18-06-2022,Men 100 Freestyle LCM Male,CAN,Canada,"LIENDO EDWARDS, Joshua",M,20-08-2002,187,187,941,Budapest,HUN
British National Swimming Championships (50m),47.87,16-04-2021,Men 100 Freestyle LCM Male,GBR,Great Britain,"SCOTT, Duncan",M,06-05-1997,187,188,941,London,GBR
18th FINA World Championships 2019,47.87,24-07-2019,Men 100 Freestyle LCM Male,USA,United States of America,"PIERONI, Blake",M,15-11-1995,187,189,941,Gwangju,KOR
British Swimming Championships (50m),47.87,18-04-2019,Men 100 Freestyle LCM Male,GBR,Great Britain,"SCOTT, Duncan",M,06-05-1997,187,190,941,Glasgow,GBR
Kosuke Kitajima Cup,47.87,29-01-2018,Men 100 Freestyle LCM Male,JPN,Japan,"NAKAMURA, Katsumi",M,21-02-1994,187,191,941,tokyo,JPN
17th FINA World Championships 2017,47.87,27-07-2017,Men 100 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07-12-1988,187,192,941,Budapest,HUN
Italian National Championships (50m),47.88,11-04-2022,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02-10-1998,193,193,940,Milano,ITA
British National Championships (50m),47.88,07-04-2022,Men 100 Freestyle LCM Male,GBR,Great Britain,"BURRAS, Lewis Edward",M,12-02-2000,193,194,940,Sheffield,GBR
European Championships 2021,47.88,18-05-2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MINAKOV, Andrei",M,17-03-2002,193,195,940,Budapest,HUN
FINA Swimming World Cup 2019,47.88,16-08-2019,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16-06-1992,193,196,940,Singapore,SGP
Philipps 66 USA National Championships (50m),47.88,31-07-2019,Men 100 Freestyle LCM Male,USA,United States of America,"JACKSON, Tate",M,04-02-1997,193,197,940,Palo Alto,USA
18th FINA World Championships 2019,47.88,25-07-2019,Men 100 Freestyle LCM Male,USA,United States of America,"PIERONI, Blake",M,15-11-1995,193,198,940,Gwangju,KOR
Olympic Games Rio 2016,47.88,10-08-2016,Men 100 Freestyle LCM Male,CAN,Canada,"CONDORELLI, Santo",M,17-01-1995,193,199,940,Rio de Janeiro,BRA
Olympic Games Rio 2016,47.88,09-08-2016,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25-06-1998,193,200,940,Rio de Janeiro,BRA
