meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,RANK,Rank_Order,fina_points,meet_city,country_code
Philipps 66 USA National Championships (50m),47.61,31-07-2019,Men 100 Freestyle LCM Male,USA,United States of America,"ROONEY, Maxime",M,16-04-1998,82,82,956,Palo Alto,USA
27th Summer Universiade 2013,47.62,14-07-2013,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16-06-1992,83,83,955,Kazan,RUS
European Championships 2022,47.63,13-08-2022,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02-10-1998,84,84,955,Rome,ITA
19th FINA World Championships Budapest 2022,47.63,21-06-2022,Men 100 Freestyle LCM Male,GBR,Great Britain,"BURRAS, Lewis Edward",M,12-02-2000,84,85,955,Budapest,HUN
18th FINA World Championships 2019,47.63,21-07-2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16-08-1996,84,86,955,Gwangju,KOR
Olympic Games London 2012,47.63,31-07-2012,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11-04-1991,84,87,955,London,GBR
2012 EnergyAustralia Swimming,47.63,15-03-2012,Men 100 Freestyle LCM Male,AUS,Australia,"ROBERTS, James",M,11-04-1991,84,88,955,Adelaide,AUS
14th FINA World Championships 2011,47.63,28-07-2011,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11-04-1991,84,89,955,Shanghai,CHN
19th FINA World Championships Budapest 2022,47.64,22-06-2022,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24-04-1999,90,90,954,Budapest,HUN
19th FINA World Championships Budapest 2022,47.65,21-06-2022,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04-08-2004,91,91,954,Budapest,HUN
Russian National Championships (50m),47.65,10-04-2019,Men 100 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,21-07-1996,91,92,954,Moscow,RUS
17th FINA World Championships 2017,47.65,26-07-2017,Men 100 Freestyle LCM Male,FRA,France,"METELLA, Mehdy",M,17-07-1992,91,93,954,Budapest,HUN
China Autumn Nationals,47.65,14-10-2014,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"NING, Zetao",M,06-03-1993,91,94,954,Huangshan,CHN
Australian National Championships (50m),47.65,01-04-2014,Men 100 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13-05-1994,91,95,954,Brisbane,AUS
17th FINA World Championships 2017,47.66,26-07-2017,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16-08-1996,96,96,953,Budapest,HUN
13th FINA World Championships 2009,47.66,29-07-2009,Men 100 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,20-10-1981,96,97,,Rome,ITA
19th FINA World Championships Budapest 2022,47.67,18-06-2022,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16-08-1996,98,98,952,Budapest,HUN
7th EDF Open Swimming,47.67,06-07-2013,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11-04-1991,98,99,952,Vichy,FRA
Olympic Games Beijing 2008,47.67,14-08-2008,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10-01-1987,98,100,993,Beijing,CHN
Olympic Games Beijing 2008,47.67,14-08-2008,Men 100 Freestyle LCM Male,USA,United States of America,"LEZAK, Jason",M,12-11-1975,98,101,993,Beijing,CHN
Maria Lenk / Brazil Trophy,47.68,18-04-2019,Men 100 Freestyle LCM Male,BRA,Brazil,"CHIERIGHINI, Marcelo",M,15-01-1991,102,102,952,Rio de Janeiro,BRA
Olympic Games Beijing 2008,47.68,13-08-2008,Men 100 Freestyle LCM Male,NED,Netherlands,"VAN DEN HOOGENBAND, Pieter",M,14-03-1978,102,103,992,Beijing,CHN
European Championships 2022,47.69,14-08-2022,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24-04-1999,104,104,951,Rome,ITA
European Junior Swimming Championships 2022,47.69,10-07-2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15-09-2004,104,105,951,Otopeni,ROU
19th FINA World Championships Budapest 2022,47.69,21-06-2022,Men 100 Freestyle LCM Male,HUN,Hungary,"NEMETH, Nandor",M,19-11-1999,104,106,951,Budapest,HUN
USA Winter National Championships (50m),47.69,07-12-2019,Men 100 Freestyle LCM Male,USA,United States of America,"APPLE, Zach",M,23-04-1997,104,107,951,Atlanta,USA
Russian National Swimming Championships (50m),47.7,06-04-2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"KOLESNIKOV, Kliment",M,09-07-2000,108,108,951,Kazan,RUS
17th Asian Games 2014,47.7,25-09-2014,Men 100 Freestyle LCM Male,CHN,People's Republic of China,"NING, Zetao",M,06-03-1993,108,109,951,Incheon,KOR
19th FINA World Championships Budapest 2022,47.71,22-06-2022,Men 100 Freestyle LCM Male,CAN,Canada,"LIENDO EDWARDS, Joshua",M,20-08-2002,110,110,950,Budapest,HUN
Olympic Games Tokyo 2020,47.71,27-07-2021,Men 100 Freestyle LCM Male,ITA,Italy,"CECCON, Thomas",M,27-01-2001,110,111,950,Tokyo,JPN
Olympic Games Tokyo 2020,47.71,26-07-2021,Men 100 Freestyle LCM Male,ROC,ROC,"MINAKOV, Andrei",M,17-03-2002,110,112,950,Tokyo,JPN
15th FINA World Championships 2013,47.71,01-08-2013,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11-04-1991,110,113,950,Barcelona,ESP
15th FINA World Championships 2013,47.71,31-07-2013,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11-04-1991,110,114,950,Barcelona,ESP
Olympic Games Tokyo 2020,47.72,29-07-2021,Men 100 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24-04-1999,115,115,949,Tokyo,JPN
Olympic Games Tokyo 2020,47.72,28-07-2021,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15-09-2004,115,116,949,Tokyo,JPN
Olympic Games Tokyo 2020,47.72,26-07-2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02-10-1998,115,117,949,Tokyo,JPN
US Olympic Team Trials - Wave II,47.72,17-06-2021,Men 100 Freestyle LCM Male,USA,United States of America,"APPLE, Zach",M,23-04-1997,115,118,949,Omaha,USA
US Olympic Team Trials - Swimming,47.72,30-06-2016,Men 100 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07-12-1988,115,119,949,Omaha,USA
Olympic Games Tokyo 2020,47.73,27-07-2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16-08-1996,120,120,949,Tokyo,JPN
2014 Victorian Open Championships,47.73,17-01-2014,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11-04-1991,120,121,949,Melbourne,AUS
13th FINA World Championships 2009,47.73,26-07-2009,Men 100 Freestyle LCM Male,FRA,France,"GILOT, Fabien",M,27-04-1984,120,122,,Rome,ITA
European Championships 2021,47.74,19-05-2021,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MINAKOV, Andrei",M,17-03-2002,123,123,948,Budapest,HUN
European Championships 2021,47.74,17-05-2021,Men 100 Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02-10-1998,123,124,948,Budapest,HUN
Russian National Championships (50m),47.74,09-04-2019,Men 100 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,21-07-1996,123,125,948,Moscow,RUS
Philipps 66 USA National Championships (50m),47.75,31-07-2019,Men 100 Freestyle LCM Male,USA,United States of America,"ROONEY, Maxime",M,16-04-1998,126,126,948,Palo Alto,USA
Russian National Championships 2018,47.75,22-04-2018,Men 100 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16-06-1992,126,127,948,Moscow,RUS
2014 NSW State Open Championships,47.75,28-02-2014,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,11-04-1991,126,128,948,Sydney,AUS
Olympic Games Beijing 2008,47.75,14-08-2008,Men 100 Freestyle LCM Male,NED,Netherlands,"VAN DEN HOOGENBAND, Pieter",M,14-03-1978,126,129,988,Beijing,CHN
